neighbourhood_name,frac_dc,frac_dc_res,frac_dc_com,frac_dc_ind,frac_dc_mix,frac_dc_inst,frac_dc_unknown
OZERNA,0.03486652152695691,0.02552953525961291,0.009336986267344005,0.0,0.0,0.0,0.0
TRUMPETER AREA,0.03483641981466843,0.027315716420596065,0.0,0.0,0.007520703394072368,0.0,0.0
ELSINORE,0.03478985252246758,0.03478985252246758,0.0,0.0,0.0,0.0,0.0
ANTHONY HENDAY BIG LAKE,0.03454309827225311,0.0,0.0,0.03454309827225311,0.0,0.0,0.0
RAMPART INDUSTRIAL,0.03331030083406705,0.0,0.03331030083406705,0.0,0.0,0.0,0.0
ASTER,0.03141413588961014,0.010123789808109811,0.0,0.0,0.02129034608150033,0.0,0.0
CARLTON,0.030782866537565956,0.0,0.0,0.0,0.0,0.030782866537565956,0.0
DAVIES INDUSTRIAL WEST,0.030627748356373025,0.0,0.0007398038628987985,0.029148140630575428,0.0,0.0,0.0007398038628987985
SATOO,0.030596628067791527,0.030596628067791527,0.0,0.0,0.0,0.0,0.0
HODGSON,0.030364624931396494,0.030364624931396494,0.0,0.0,0.0,0.0,0.0
MALMO PLAINS,0.030179199066036822,0.03017659146248817,2.6065714068554317e-06,0.0,0.0,0.0,1.0321417993811135e-09
EDGEMONT,0.029960881439570958,0.021967722994889444,0.0,0.0,0.007993158444681512,0.0,0.0
MCQUEEN,0.029426280297571515,0.0,0.029426280297571515,0.0,0.0,0.0,0.0
RHATIGAN RIDGE,0.0274757755297551,0.016078582818620634,0.011397192711134464,0.0,0.0,0.0,0.0
MCKERNAN,0.026980265115575143,0.011841523821048937,0.0016193100420103946,0.0,0.005993306161442839,0.0,0.007526125091072973
MEADOWLARK PARK,0.026374679613400627,0.026374679613400627,0.0,0.0,0.0,0.0,0.0
CORONET ADDITION INDUSTRIAL,0.02630114247599905,0.0,0.013150571237999524,0.0,0.0,0.0,0.013150571237999524
CRESTWOOD,0.026204967795198514,0.00404777774528898,0.0,0.0,2.3211493759585297e-05,0.022133978556149948,0.0
FRASER,0.025989175337806095,0.013947780537551139,0.0,0.0,0.0,0.0,0.012041394800254956
PAISLEY,0.025372734745805498,0.025308281077293864,0.0,0.0,0.0,6.445366851163522e-05,0.0
STILLWATER,0.025204689907505975,0.0,0.025204689907505975,0.0,0.0,0.0,0.0
GLASTONBURY,0.024591748665218696,0.01677696415632835,0.0,0.0,3.036937253155846e-05,0.0,0.007784415136358784
LAURIER HEIGHTS,0.024188877868813678,0.024188877868813678,0.0,0.0,0.0,0.0,0.0
ALBANY,0.02337482159946214,0.0,0.0,0.0,0.02337482159946214,0.0,0.0
ROSENTHAL,0.023363990563481624,0.023307560600650912,5.642996283071201e-05,0.0,0.0,0.0,0.0
HAIRSINE,0.023011381053110833,0.0,0.0,0.0,0.0,0.0,0.023011381053110833
TERWILLEGAR TOWNE,0.022264386602610382,0.013465900008567,0.0,0.0,0.008798486594043383,0.0,0.0
MENISA,0.02213997498274315,0.005658323335273845,0.016481651647469307,0.0,0.0,0.0,0.0
GRAYDON HILL,0.022030453587708013,0.0,0.022030453587708013,0.0,0.0,0.0,0.0
PARKDALE,0.02202765288103402,0.0,0.003445177966681819,0.0,0.0,0.0,0.0185824749143522
HUFF BREMNER ESTATE INDUSTRIAL,0.021773186101714942,0.0,0.021773186101714942,0.0,0.0,0.0,0.0
MONTROSE,0.021437368896777914,0.0,0.02029741376760101,0.0,0.0011382196896771776,1.7354394997241778e-06,0.0
WINDSOR PARK,0.02133000149718841,0.016250708780252015,0.0,0.0,0.005079292716936393,0.0,0.0
HERITAGE VALLEY TOWN CENTRE,0.02098641699073388,0.011188545016103252,0.0,0.0,0.009708236857682484,8.963511694814648e-05,0.0
EDMISTON INDUSTRIAL,0.020781919347618288,0.0,0.0,0.020781919347618288,0.0,0.0,0.0
LAUREL,0.020725937971501546,0.020725937971501546,0.0,0.0,0.0,0.0,0.0
HAZELDEAN,0.020549835144817362,0.0,0.0,9.592735908759487e-07,0.0,0.020548875871226484,0.0
CRYSTALLINA NERA WEST,0.020221342949683845,0.020221342949683845,0.0,0.0,0.0,0.0,0.0
HAWIN PARK ESTATE INDUSTRIAL,0.020216888667216156,0.0,0.0,0.0,0.0,0.020216888667216156,0.0
BLACKMUD CREEK,0.020089009867811435,0.020088051106900942,0.0,0.0,9.587609104920202e-07,0.0,0.0
CHAPPELLE,0.02004736598388315,0.016280229093150453,0.0037671361997175944,0.0,0.0,6.910151018017272e-10,0.0
DAVIES INDUSTRIAL EAST,0.01988592404387401,0.0,0.0,0.01988592404387401,0.0,0.0,0.0
GLENORA,0.019142599195838415,0.0026814902862150555,0.0,0.0,0.015548186106627285,0.0,0.0009129228029960718
DALY GROVE,0.018934314788218,0.0,0.018934314788218,0.0,0.0,0.0,0.0
OXFORD,0.018849335921808947,0.018849335921808947,0.0,0.0,0.0,0.0,0.0
THE ORCHARDS AT ELLERSLIE,0.018831342306861412,0.018831342306861412,0.0,0.0,0.0,0.0,0.0
SILVER BERRY,0.01819663770917946,0.0,0.0,0.0,0.0,0.01534124374424427,0.0028553939649351885
INDUSTRIAL HEIGHTS,0.017521275384269924,0.0,0.0040033427265905325,0.003328215728755682,0.0,0.010167646104379825,2.2070824543883353e-05
MISTATIM INDUSTRIAL,0.01675736957697165,0.0,1.124205052648023e-07,0.0,0.0,0.016757257156466383,0.0
MEYONOHK,0.016711028091863884,0.0,0.016710976071882117,5.2019981767840954e-08,0.0,0.0,0.0
