slug,agreement_no,url,purpose
dc1-12929,12929,https://zoningbylaw.edmonton.ca/dc1-12929,"To accommodate a range of uses for the McLeod Building and develop sensitive site development criteria, so that development will be compatible with the designation of the McLeod Building as a Municipal Historic Resource and as a Provincial Historic Resource. 3)"
dc1-13175,13175,https://zoningbylaw.edmonton.ca/dc1-13175,
dc1-13817,13817,https://zoningbylaw.edmonton.ca/dc1-13817,"This Provision is designed to accommodate the use and preservation of the Hugh Duncan Residence, a Municipal Historic Resource. This provision allows a commercial and a residential use within the existing building, while ensuring that any future alterations or the construction of an Accessory building are compatible with the designation of this building as a Municipal Historic Resource."
dc1-13838,13838,https://zoningbylaw.edmonton.ca/dc1-13838,"This Provision accommodates an addition to the Strathcona Library, a Municipal and Provincial Registered Historic Resource, and ensures that its redevelopment is architecturally sensitive to the existing building and adjacent historical buildings."
dc1-14006,14006,https://zoningbylaw.edmonton.ca/dc1-14006,"This Provision ensures the preservation, maintenance and use of the Bard Residence and Carriage House, a Municipal and Provincial Registered Historic Resource, and will accommodate Residential and Residential-Related uses."
dc1-14184,14184,https://zoningbylaw.edmonton.ca/dc1-14184,This Provision allows the use and preservation of the Hagmann Block and ensures that any future alterations or additions are compatible with the designation of this building as a Municipal Historic Resource.
dc1-14204,14204,https://zoningbylaw.edmonton.ca/dc1-14204,"Lands located at the southeast corner of 213 Street and Webber Greens Drive, designated as DC1 (Area 2), as shown on Schedule ""C"" Map adopting this bylaw. 2. Rationale To accommodate opportunities for medium density residential uses that promote an enhanced level of site design and architecture responsive to the individual site, neighbouring residential development, and the overall function and promotion of the Lewis Farms Community Centre as a unique and identifiable community within the City of Edmonton."
dc1-14446,14446,https://zoningbylaw.edmonton.ca/dc1-14446,"The purpose of this Provision is to accommodate the creation of large lot, single detached residential development with full municipal services that establishes a transition and harmonious landscape relative to adjacent existing Country Residential Estate development."
dc1-14448,14448,https://zoningbylaw.edmonton.ca/dc1-14448,To accommodate a limited range of uses for the Rehwinkel Parsonage and develop sensitive site development regulations to ensure that development will be consistent with the designation of the Rehwinkel Parsonage as a Municipal Historic Resource. 8.4.20.
dc1-14507,14507,https://zoningbylaw.edmonton.ca/dc1-14507,"This provision is designed to accommodate the use and preservation of the Connaught Armoury, a Provincial Historic Resource and a Municipal Historic Resource. The Connaught Armoury, built in 1911, is one of the oldest remaining armouries in Alberta and is one of Edmonton’s notable buildings. The Armoury is constructed with brick and accented with limestone string courses, and features entrance details and crenellation in the parapet which define the buildings military theme. The Provision allows an appropriate mix of residential, community oriented, institutional, and commerc"
dc1-14553,14553,https://zoningbylaw.edmonton.ca/dc1-14553,"This Provision is designed to accommodate the use, preservation and redevelopment of the Arlington Apartment building and site. The Provision preserves three facades of the historic Arlington Apartment building, allows the development of a high rise apartment building provided the three remaining facades of the Arlington Apartment are incorporated into the new building, allows an appropriate mix of residential and commercial uses, and includes regulations that ensure development of the site is both sensitive to the adjacent development and sympathetic to the original historic characteristics o"
dc1-14647,14647,https://zoningbylaw.edmonton.ca/dc1-14647,"This Provision is designed to accommodate the use and preservation of the William Blakey Residence, a Municipal Historic Resource. This provision allows a Residential use within the existing building, while ensuring that any future alterations or the construction of an Accessory building are compatible with the designation of this building as a Municipal Historic Resource."
dc1-14667,14667,https://zoningbylaw.edmonton.ca/dc1-14667,"To establish a Direct Development Control Provision with Permitted and Discretionary Uses and Development Regulations equivalent to a (CSC) Shopping Centre Zone, to accommodate larger shopping centre developments intended to serve a community or regional trade area, and also to limit the size of individual commercial operations, ensuring that the development of this commercial site is compatible with the planned residential uses within the Eaux Claires neighbourhood."
dc1-14681,14681,https://zoningbylaw.edmonton.ca/dc1-14681,"This Provision is designed to accommodate the use and preservation of the George Durrand Residence, a Municipal Historic Resource. This provision allows limited commercial use and a residential use within the existing building, while ensuring that any future alterations or the construction of an Accessory building are compatible with the designation of this building as a Municipal Historic Resource."
dc1-14690,14690,https://zoningbylaw.edmonton.ca/dc1-14690,To accommodate large single detached residential development on lots with full municipal services and appropriate development regulations that respects the residential character of the country residential estates to the west.
dc1-14732,14732,https://zoningbylaw.edmonton.ca/dc1-14732,"To provide a zone for low rise apartments, row housing, duplex housing and semi-detached housing, in accordance with the Secord Neighbourhood Structure Plan and to ensure environmental remediation of the site prior to the issuance of a Development Permit."
dc1-14928,14928,https://zoningbylaw.edmonton.ca/dc1-14928,"The purpose of this Provision is to accommodate the creation of large lot, single detached residential development with full municipal services that establishes a transition and harmonious landscape relative to adjacent existing Country Residential Estate development."
dc1-14965,14965,https://zoningbylaw.edmonton.ca/dc1-14965,"To provide guidelines and regulations for the development of street-oriented row housing compatible in scale and character with the surrounding low density residential development. This provision allows a reduced front yard setback, an increase in height allowance to accommodate steep roof pitches and provides regulations to address non-project style row housing development along public roadway frontage with a rear lane."
dc1-15020,15020,https://zoningbylaw.edmonton.ca/dc1-15020,"The purpose of this Provision is to accommodate the creation of large lot, single detached residential development with full municipal services that establishes a transition and harmonious landscape relative to adjacent existing Country Residential Estate development."
dc1-15056,15056,https://zoningbylaw.edmonton.ca/dc1-15056,"To establish a Direct Development Control Provision with Permitted and Discretionary Uses and Development Regulations equivalent to (CSC) Shopping Centre Zone, to accommodate larger shopping centre development intended to serve a community or regional trade area, and also to limit the size of individual commercial operations, ensuring that the development of this commercial site is compatible with the planned residential uses within the Eaux Claires neighbourhood."
dc1-15317,15317,https://zoningbylaw.edmonton.ca/dc1-15317,To establish a Direct Development Control Provision to accommodate a medium and high density residential development with controls and regulations designed to create a livable ”urban village” environment and generate an improved sense of place and quality development through the use of urban design regulations. The intent for this area within the Eaux Claires Neighbourhood is to establish a distinctive architectural character and create a housing district of high and mid-rise apartments with the opportunity for commercial uses at grade that incorporates high quality architecture and urban desi
dc1-15386,15386,https://zoningbylaw.edmonton.ca/dc1-15386,"This Provision is designed to accommodate the use and preservation of the Ingebert Olson Residence, a Municipal Historic Resource. This provision allows a Residential use within the existing building, while ensuring that any future alterations or the construction of an Accessory building are compatible with the designation of this building as a Municipal Historic Resource."
dc1-15411,15411,https://zoningbylaw.edmonton.ca/dc1-15411,To ensure the viability of the historic Immigration Hall is maintained and future development respects the character of the regulated portions as defined by its Character Defining Elements.
dc1-15421,15421,https://zoningbylaw.edmonton.ca/dc1-15421,"This Provision is designed: To accommodate the use, preservation and redevelopment of the Foote Residence and the Parkview Apartments site as Municipal Historic Resources, and the comprehensive redevelopment of the adjacent lot with high density residential uses that achieve a high standard of appearance and ensuring compatibility in mass and scale with adjacent land uses, while enhancing the pedestrian friendly character and streetscape of the area, and Preserve the historic façades of the Foote Residences and Parkview Apartments; allow the development of a high rise apartment building, allow"
dc1-15451,15451,https://zoningbylaw.edmonton.ca/dc1-15451,"The purpose of this Zone is to allow for a more intensive form of ground oriented residential development with attached garages that provides opportunity for Single Detached and Semi-detached Housing, and Secondary Suites."
dc1-15578,15578,https://zoningbylaw.edmonton.ca/dc1-15578,"To accommodate a range of uses for the Hull Block Building, retain an accessory parking structure located immediately to the east of the Hull Block, and to allow for an accessory vehicular surface parking lot and limited residential uses to the northeast of the Hull Block."
dc1-15751,15751,https://zoningbylaw.edmonton.ca/dc1-15751,"This Provision is designed to accommodate the use and preservation of the John Joseph Duggan Residence constructed in 1907 (the House), a Provincial Historic Resource. This provision allows Professional, Financial and Office Support Services within the House, while ensuring that any future alterations or the construction of additional office space shall maintain the architectural theme prescribed by the Historic Resource Authority having jurisdiction."
dc1-15767,15767,https://zoningbylaw.edmonton.ca/dc1-15767,"The intent of this (DC1) Direct Control Provision is: To recognize existing residential and limited non-residential uses as permitted uses, but to prohibit any increase in the number of residential dwellings/lots. To permit improvements or additions to existing residential uses. To allow industrial uses with full City of Edmonton Standard services that are compatible with adjacent residential uses. This DC1 allows transition to future industrial development with full City of Edmonton services for roads, sanitary sewer, drainage and potable water. The DC1 implements the policies of the Maple Ri"
